,time,count,frame
316,2017-10-23 02:07:15.876666456,291,316
317,2017-10-23 02:07:40.040833122,293,317
318,2017-10-23 02:08:04.204999788,291,318
319,2017-10-23 02:08:28.369166454,290,319
320,2017-10-23 02:08:52.533333120,290,320
321,2017-10-23 02:09:16.697499786,284,321
322,2017-10-23 02:09:40.861666452,284,322
323,2017-10-23 02:10:05.025833118,288,323
324,2017-10-23 02:10:29.189999784,284,324
325,2017-10-23 02:10:53.354166450,285,325
326,2017-10-23 02:11:17.518333116,277,326
327,2017-10-23 02:11:41.682499782,274,327
328,2017-10-23 02:12:05.846666448,271,328
329,2017-10-23 02:12:30.010833114,270,329
330,2017-10-23 02:12:54.174999780,271,330
331,2017-10-23 02:13:18.339166446,265,331
332,2017-10-23 02:13:42.503333112,264,332
333,2017-10-23 02:14:06.667499778,266,333
334,2017-10-23 02:14:30.831666444,267,334
335,2017-10-23 02:14:54.995833110,266,335
336,2017-10-23 02:15:19.159999776,265,336
337,2017-10-23 02:15:43.324166442,265,337
338,2017-10-23 02:16:07.488333108,261,338
339,2017-10-23 02:16:31.652499774,257,339
340,2017-10-23 02:16:55.816666440,255,340
341,2017-10-23 02:17:19.980833106,256,341
342,2017-10-23 02:17:44.144999772,256,342
343,2017-10-23 02:18:08.309166438,249,343
344,2017-10-23 02:18:32.473333104,249,344
345,2017-10-23 02:18:56.637499770,250,345
346,2017-10-23 02:19:20.801666436,248,346
347,2017-10-23 02:19:44.965833102,249,347
348,2017-10-23 02:20:09.129999768,249,348
349,2017-10-23 02:20:33.294166434,247,349
350,2017-10-23 02:20:57.458333100,246,350
351,2017-10-23 02:21:21.622499766,245,351
352,2017-10-23 02:21:45.786666432,244,352
353,2017-10-23 02:22:09.950833098,239,353
354,2017-10-23 02:22:34.114999764,237,354
355,2017-10-23 02:22:58.279166430,237,355
356,2017-10-23 02:23:22.443333096,230,356
357,2017-10-23 02:23:46.607499762,230,357
358,2017-10-23 02:24:10.771666428,230,358
359,2017-10-23 02:24:34.935833094,229,359
